Designator;Comment;Footprint
C1;100nF;C0603
C2;2.2uF;C0603
C3;22uF;C0805
C4;22uF;C0805
C5;100nF;C0603
C6;100nF;C0603
C7;22uF;C0805
C8;100nF;C0603
C9;100nF;C0603
C10;100nF;C0603
C11;100nF;C0603
C12;2.2uF;C0603
C13;100nF;C0603
C14;15pF;C0603
C15;15pF;C0603
C16;100nF;C0603
C17;2.2uF;C0603
C18;22uF;C0805
C22;22uF;C0805
CF1;10nF;C0805
CF2;10nF;C0805
CF3;10nF;C0805
CFV;10nF;C0805
FB1;0R;BEADC1608X95N
FB2;0R;BEADC1608X95N
IC1;CP2102;MLP28
LED1;LED;CHIP-LED0805
LED2;LED;CHIP-LED0805
MCP1825;MCP1825SOT-223-3;SOT-223
Q1;NPN Transistor;SOT23-R
Q2;NPN Transistor;SOT23-R
R1;4.7k;R0603
R2;10k;R0603
R3;330R;R0603
R4;10k;R0603
R8;120k;R0603
R9;10k;R0603
R10;10k;R0603
R11;10k;R0603
R12;510R;R0603
R13;0R;R0603
R19;10k;R0603
R20;120k;R0603
R22;10k;R0603
R23;10k;R0603
RB1;22r;R0603
RB2;6R8;R0603
RB3;6R8;R0603
RF1;9k1;R0603
RF2;9k1;R0603
RF3;9k1;R0603
RFV;9k1;R0603
STM32;STM32F302_303C2;LQFP48-7X7MM
U$3;47219-2001_MICROSD;47219-2001_MICROSD
U2;NUP1301ML3T1G;SOT23-WIDE
Y1;NX3225;NX3225
